Model,Embedding,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score,Overfitting,Training Time
Knn,Bow,0.535±0.004,0.852,0.851,0.852,0.849,High Overfitting - 0.149,498.58
Knn,Tfidf,0.852±0.002,0.861,0.860,0.861,0.859,Good Fit - 0.049,416.93
Knn,Embeddings,0.905±0.001,0.909,0.908,0.909,0.908,Good Fit - 0.028,21.62
Decision Tree,Bow,0.750±0.002,0.757,0.758,0.757,0.757,High Overfitting - 0.250,464.99
Decision Tree,Tfidf,0.741±0.001,0.745,0.746,0.745,0.746,High Overfitting - 0.259,469.00
Decision Tree,Embeddings,0.770±0.001,0.772,0.771,0.772,0.772,High Overfitting - 0.229,730.56
Naive Bayes,Bow,0.883±0.002,0.883,0.884,0.883,0.883,Good Fit - 0.008,0.21
Naive Bayes,Tfidf,0.886±0.003,0.887,0.887,0.887,0.886,Good Fit - 0.008,0.18
Naive Bayes,Embeddings,0.831±0.002,0.832,0.842,0.832,0.834,Good Fit - 0.000,3.23
Kmeans,Bow,0.499±0.034,0.524,0.530,0.524,0.479,Good Fit - -0.001,238.57
Kmeans,Tfidf,0.634±0.063,0.709,0.777,0.709,0.712,Good Fit - 0.000,234.14
Kmeans,Embeddings,0.755±0.001,0.756,0.791,0.756,0.758,Good Fit - 0.000,7.05
Ensemble Learning,Bow,0.000±0.000,0.840,0.841,0.840,0.840,Underfitting,463.94
Ensemble Learning,Tfidf,0.000±0.000,0.882,0.881,0.882,0.881,Underfitting,537.46
Ensemble Learning,Embeddings,0.000±0.000,0.879,0.880,0.879,0.879,Underfitting,911.90
