Vectorization,Model,F1 Score,Accuracy,Precision,Recall,Training Time (s)
Bow,Knn,84.9%,85.2%,85.1%,85.2%,431.3
Tfidf,Knn,85.9%,86.1%,86.0%,86.1%,401.4
Embeddings,Knn,90.8%,90.9%,90.8%,90.9%,22.9
Bow,Decision Tree,75.7%,75.7%,75.8%,75.7%,491.3
Tfidf,Decision Tree,74.6%,74.5%,74.6%,74.5%,464.1
Embeddings,Decision Tree,77.2%,77.2%,77.1%,77.2%,731.4
Bow,Naive Bayes,88.3%,88.3%,88.4%,88.3%,0.3
Tfidf,Naive Bayes,88.6%,88.7%,88.7%,88.7%,0.2
Embeddings,Naive Bayes,83.4%,83.2%,84.2%,83.2%,3.1
Bow,Kmeans,47.9%,52.4%,53.0%,52.4%,232.8
Tfidf,Kmeans,71.2%,70.9%,77.7%,70.9%,232.2
Embeddings,Kmeans,75.8%,75.6%,79.1%,75.6%,5.9
Bow,Ensemble Learning,84.0%,84.0%,84.1%,84.0%,3204.4
Tfidf,Ensemble Learning,88.1%,88.2%,88.1%,88.2%,3233.1
Embeddings,Ensemble Learning,87.9%,87.9%,88.0%,87.9%,3544.2
