Model,Embedding,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score,Overfitting,Training Time
Knn,Bow,0.535±0.004,0.852,0.851,0.852,0.849,High Overfitting - 0.149,431.31
Knn,Tfidf,0.852±0.002,0.861,0.860,0.861,0.859,Good Fit - 0.049,401.39
Knn,Embeddings,0.905±0.001,0.909,0.908,0.909,0.908,Good Fit - 0.028,22.92
Decision Tree,Bow,0.750±0.002,0.757,0.758,0.757,0.757,High Overfitting - 0.250,491.32
Decision Tree,Tfidf,0.741±0.001,0.745,0.746,0.745,0.746,High Overfitting - 0.259,464.05
Decision Tree,Embeddings,0.770±0.001,0.772,0.771,0.772,0.772,High Overfitting - 0.229,731.43
Naive Bayes,Bow,0.883±0.002,0.883,0.884,0.883,0.883,Good Fit - 0.008,0.29
Naive Bayes,Tfidf,0.886±0.003,0.887,0.887,0.887,0.886,Good Fit - 0.008,0.17
Naive Bayes,Embeddings,0.831±0.002,0.832,0.842,0.832,0.834,Good Fit - 0.000,3.11
Kmeans,Bow,0.499±0.034,0.524,0.530,0.524,0.479,Good Fit - -0.001,232.80
Kmeans,Tfidf,0.634±0.063,0.709,0.777,0.709,0.712,Good Fit - 0.000,232.20
Kmeans,Embeddings,0.755±0.001,0.756,0.791,0.756,0.758,Good Fit - 0.000,5.91
Ensemble Learning,Bow,0.835±0.001,0.840,0.841,0.840,0.840,Well Fitted,3204.42
Ensemble Learning,Tfidf,0.878±0.001,0.882,0.881,0.882,0.881,Well Fitted,3233.12
Ensemble Learning,Embeddings,0.876±0.002,0.879,0.880,0.879,0.879,Well Fitted,3544.19
