Model,Vectorization,F1 Score,Test Accuracy,Precision,Recall,Training Time (s),Overfitting Level,CV Mean Accuracy,CV Std Accuracy
knn,bow,0.8487865027642824,0.8516166666666667,0.8507707384671958,0.8516166666666667,431.30680799484253,High overfitting - 0.149,0.5350291666666667,0.0038141867853230794
knn,tfidf,0.8592870897811096,0.8613333333333333,0.8601541432058663,0.8613333333333333,401.39047384262085,Good fit - 0.049,0.85215,0.0019003106471194623
knn,embeddings,0.9083789704143302,0.9088833333333334,0.9083041500203917,0.9088833333333334,22.917138814926147,Good fit - 0.028,0.9049541666666666,0.000640691900300835
decision_tree,bow,0.7574395542506297,0.75715,0.7579241915808478,0.75715,491.3157889842987,High overfitting - 0.250,0.7501541666666667,0.0023884342267593323
decision_tree,tfidf,0.7456546666387982,0.745,0.7464819475908407,0.745,464.0529351234436,High overfitting - 0.259,0.7405,0.00059395098937351
decision_tree,embeddings,0.7716664095277352,0.7719,0.7714641644778406,0.7719,731.4297411441803,High overfitting - 0.229,0.7704,0.0014892788150272205
naive_bayes,bow,0.8834150814371562,0.8830833333333333,0.8844347198783187,0.8830833333333333,0.28850555419921875,Good fit - 0.008,0.8827874999999998,0.002448972290120463
naive_bayes,tfidf,0.886408687585781,0.8868333333333334,0.8870143839270097,0.8868333333333334,0.17399883270263672,Good fit - 0.008,0.8861333333333332,0.0026288860124902306
naive_bayes,embeddings,0.8342639168500229,0.8323666666666667,0.8415019895230036,0.8323666666666667,3.1051154136657715,Good fit - 0.000,0.8311875000000001,0.0018241721866826938
kmeans,bow,0.47863338892037305,0.5241333333333333,0.5298013288855831,0.5241333333333333,232.80254006385803,Good fit - -0.001,0.499175,0.03415055921129908
kmeans,tfidf,0.7118524699646722,0.7091333333333333,0.7772809009285112,0.7091333333333333,232.20331168174744,Good fit - 0.000,0.6335083333333333,0.06339971247305991
kmeans,embeddings,0.7577546128595156,0.7558,0.7905519721867243,0.7558,5.912245512008667,Good fit - 0.000,0.7545791666666666,0.0010339212037460256
Ensemble Learning,bow,0.8396597428426111,0.8402666666666667,0.8411299255162638,0.8402666666666667,3204.4230365753174,N/A,0.8352375000000001,0.0006859958292714222
Ensemble Learning,tfidf,0.8812774122314887,0.8820833333333333,0.8813566648449038,0.8820833333333333,3233.1218955516815,N/A,0.8781416666666667,0.0008851985025342352
Ensemble Learning,embeddings,0.8788398598505528,0.8786666666666667,0.8797438000363835,0.8786666666666667,3544.190505504608,N/A,0.8758208333333334,0.0024314419018809244
