iter	Passed	Remaining
0	1	121
1	1	95
2	2	93
3	3	91
4	4	88
5	5	87
6	6	86
7	7	86
8	8	85
9	9	84
10	10	84
11	11	83
12	12	82
13	13	80
14	14	79
15	14	76
16	15	76
17	16	75
18	17	75
19	18	74
20	19	73
21	20	73
22	21	72
23	22	71
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	38	55
41	39	54
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	85	9
90	86	8
91	87	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	91	1
98	92	0
99	93	0
