iter	Passed	Remaining
0	6	666
1	11	549
2	17	571
3	23	573
4	36	692
5	41	654
6	47	629
7	52	605
8	57	583
9	62	565
10	68	550
11	72	532
12	77	517
13	83	512
14	88	502
15	93	489
16	98	483
17	103	470
18	108	463
19	115	460
20	119	449
21	125	443
22	132	442
23	137	435
24	142	427
25	148	422
26	152	413
27	158	406
28	163	400
29	168	392
30	172	384
31	177	377
32	182	370
33	190	369
34	196	365
35	201	358
36	207	352
37	213	347
38	217	340
39	222	334
40	229	329
41	234	323
42	238	316
43	244	311
44	250	306
45	255	299
46	259	292
47	265	287
48	270	282
49	275	275
50	281	270
51	286	264
52	290	257
53	296	252
54	301	246
55	305	240
56	313	236
57	319	231
58	324	225
59	330	220
60	335	214
61	341	209
62	347	204
63	353	198
64	358	193
65	364	188
66	370	182
67	376	177
68	382	171
69	387	166
70	392	160
71	398	154
72	403	149
73	409	143
74	414	138
75	418	132
76	423	126
77	428	120
78	433	115
79	438	109
80	444	104
81	448	98
82	455	93
83	461	87
84	466	82
85	472	76
86	478	71
87	483	65
88	487	60
89	493	54
90	498	49
91	503	43
92	509	38
93	514	32
94	519	27
95	523	21
96	529	16
97	534	10
98	538	5
99	544	0
